Date,Close,Volume,Open,High,Low
2022-03-22,331.3266,105868571,310.0,332.62,307.25
2022-03-21,307.0533,81981668,304.9933,314.2833,302.3633
2022-03-18,301.7966,100414210,291.4966,302.6166,289.13
2022-03-17,290.5333,66582967,276.9966,291.6666,275.2392
2022-03-16,280.0766,84028838,269.6666,280.6666,267.42
2022-03-15,267.2966,66841147,258.4233,268.5233,252.19
2022-03-14,255.4566,71152267,260.2033,266.9,252.0133
2022-03-11,265.1166,67037167,280.0656,281.2673,264.59
2022-03-10,279.4333,58648656,283.8166,284.8166,270.12
2022-03-09,286.3233,59183976,279.8266,286.8533,277.3366
2022-03-08,274.8,80399108,265.1766,283.33,260.7233
2022-03-07,268.1933,72494167,285.4333,288.7133,268.19
2022-03-04,279.43,67179877,283.0333,285.2166,275.0536
2022-03-03,279.7633,61623516,292.9233,295.4796,277.5333
2022-03-02,293.2966,74643457,290.71,295.4933,281.424
2022-03-01,288.1233,74766877,289.8933,296.6266,284.5933
2022-02-28,290.1433,99006880,271.67,292.2866,271.5691
2022-02-25,269.9566,76067768,269.7433,273.1666,260.8001
2022-02-24,266.9233,135322304,233.4633,267.4933,233.3333
2022-02-23,254.68,95257030,276.81,278.4332,253.52
2022-02-22,273.8433,83288198,278.0433,285.5779,267.0333
2022-02-18,285.66,68501857,295.3333,295.6233,279.2033
2022-02-17,292.1166,55178436,304.42,306.1666,291.3666
2022-02-16,307.7966,51294395,304.6833,308.8099,300.4033
2022-02-15,307.4766,57649536,300.0,307.6666,297.7924
2022-02-14,291.92,67756417,287.19,299.6266,284.3833
2022-02-11,286.6666,79645868,303.21,305.32,283.5666
2022-02-10,301.5166,66126847,302.79,314.6033,298.9
2022-02-09,310.6666,52259555,311.6666,315.4233,306.6666
2022-02-08,307.3333,50729015,301.8433,308.7633,298.2666
2022-02-07,302.4466,60994476,307.93,315.9233,300.9029
2022-02-04,307.7733,73625467,299.0733,312.1666,293.7233
2022-02-03,297.0466,78855578,294.0,312.3333,293.5066
2022-02-02,301.8866,66793057,309.3933,310.5,296.47
2022-02-01,310.4166,73138357,311.7366,314.5666,301.6666
2022-01-31,312.24,104436100,290.9033,312.6633,287.35
